dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
email,batch,32,allseeds,email_b1000_p0.5,1000,200,0,0.020,19.190,95.9504,74.3258,256.1464,259.5893,10422.0,59976714,0,0,24850,31,1,0.105,91096,1005
email,batch,32,allseeds,email_b1000_p0.5,1000,200,1,0.014,18.152,90.7606,69.1552,241.2836,242.5055,11018.0,59976714,0,0,24850,31,1,0.103,91096,1005
email,batch,32,allseeds,email_b1000_p0.5,1000,200,2,0.015,18.667,93.3368,79.4422,242.8556,245.5629,10713.9,59976714,0,0,24850,31,1,0.104,91096,1005
email,batch,32,allseeds,email_b1000_p0.5,1000,200,3,0.013,18.141,90.7059,69.2293,246.4016,250.0739,11024.6,59976714,0,0,24850,31,1,0.106,91096,1005
email,batch,32,allseeds,email_b1000_p0.5,1000,200,4,0.013,18.460,92.2996,69.6573,246.6062,246.9448,10834.3,59976714,0,0,24850,31,1,0.104,91096,1005
