dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
wikivote,batch,32,allseeds,wikivote_b1000_p0.5,1000,200,0,0.088,32.972,164.8582,164.3541,193.4244,203.8963,6065.8,96994590,0,0,4686,44,1,0.080,162090,7115
wikivote,batch,32,allseeds,wikivote_b1000_p0.5,1000,200,1,0.078,32.054,160.2688,157.5811,193.1533,203.8763,6239.5,96994590,0,0,4686,44,1,0.073,162090,7115
wikivote,batch,32,allseeds,wikivote_b1000_p0.5,1000,200,2,0.078,30.858,154.2875,151.3416,185.1204,185.9060,6481.4,96994590,0,0,4686,44,1,0.070,162090,7115
wikivote,batch,32,allseeds,wikivote_b1000_p0.5,1000,200,3,0.073,33.323,166.6162,161.9233,221.6091,223.7985,6001.8,96994590,0,0,4686,44,1,0.075,162090,7115
wikivote,batch,32,allseeds,wikivote_b1000_p0.5,1000,200,4,0.076,31.234,156.1682,151.8788,188.7665,189.7763,6403.3,96994590,0,0,4686,44,1,0.080,162090,7115
