dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
gnutella,batch,32,full,gnutella_b100_p0.0,100,2000,3,0.034,0.050,0.0251,0.0188,0.0956,0.2930,3971361.1,15000,0,0,18,50,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b100_p0.0,100,2000,4,0.034,0.043,0.0215,0.0174,0.0522,0.2192,4636534.1,15000,0,0,18,50,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b1000_p1.0,1000,200,0,0.046,0.180,0.8976,0.6674,12.1734,25.4538,1113852.8,601728,0,0,1010,87,1,0.059,347880,62586
gnutella,batch,32,full,gnutella_b1000_p1.0,1000,200,1,0.042,0.163,0.8159,0.6415,6.1651,21.2716,1225376.5,601728,0,0,1010,87,1,0.068,347880,62586
gnutella,batch,32,full,gnutella_b1000_p1.0,1000,200,2,0.033,0.151,0.7556,0.6580,1.0623,14.3084,1323144.2,601728,0,0,1010,87,1,0.063,347880,62586
gnutella,batch,32,full,gnutella_b1000_p1.0,1000,200,3,0.029,0.154,0.7698,0.6692,1.0562,15.4444,1298672.2,601728,0,0,1010,87,1,0.063,347880,62586
gnutella,batch,32,full,gnutella_b1000_p1.0,1000,200,4,0.054,0.147,0.7369,0.6337,1.0065,15.4197,1356844.6,601728,0,0,1010,88,1,0.068,347880,62586
gnutella,batch,32,full,gnutella_b1000_p0.5,1000,200,0,0.045,0.126,0.6306,0.4616,1.1434,20.4772,1585431.1,311877,0,0,546,74,1,0.027,185331,62586
gnutella,batch,32,full,gnutella_b1000_p0.5,1000,200,1,0.036,0.118,0.5892,0.4511,1.1448,16.5842,1697019.9,311877,0,0,546,74,1,0.028,185331,62586
gnutella,batch,32,full,gnutella_b1000_p0.5,1000,200,2,0.033,0.118,0.5923,0.4528,1.1216,17.2400,1687957.3,311877,0,0,546,74,1,0.025,185331,62586
gnutella,batch,32,full,gnutella_b1000_p0.5,1000,200,3,0.035,0.124,0.6175,0.4749,1.1905,15.6819,1619242.4,311877,0,0,546,74,1,0.027,185331,62586
gnutella,batch,32,full,gnutella_b1000_p0.5,1000,200,4,0.036,0.153,0.7642,0.5646,14.2452,15.9234,1308410.0,311877,0,0,546,74,1,0.040,185331,62586
gnutella,batch,32,full,gnutella_b1000_p0.0,1000,200,0,0.037,0.047,0.2371,0.1853,0.6672,0.6904,4216231.0,14961,0,0,40,52,1,0.012,58083,62586
gnutella,batch,32,full,gnutella_b1000_p0.0,1000,200,1,0.041,0.047,0.2343,0.1722,0.7156,0.7581,4266920.0,14961,0,0,40,52,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b1000_p0.0,1000,200,2,0.058,0.061,0.3028,0.1767,1.7267,8.5808,3301726.8,14961,0,0,40,52,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b1000_p0.0,1000,200,3,0.052,0.081,0.4037,0.2085,1.4415,25.0489,2476296.7,14961,0,0,40,52,1,0.013,58083,62586
gnutella,batch,32,full,gnutella_b1000_p0.0,1000,200,4,0.040,0.071,0.3540,0.2087,2.2602,5.9760,2823647.2,14961,0,0,40,52,1,0.016,58083,62586
gnutella,batch,32,full,gnutella_b10000_p1.0,10000,20,0,0.048,0.225,11.2324,6.9854,43.1565,43.1565,890270.7,601719,0,0,10048,90,1,0.075,347880,62586
gnutella,batch,32,full,gnutella_b10000_p1.0,10000,20,1,0.053,0.232,11.6068,7.8526,60.7443,60.7443,860984.1,601719,0,0,10048,90,1,0.082,347880,62586
gnutella,batch,32,full,gnutella_b10000_p1.0,10000,20,2,0.052,0.210,10.4720,7.5910,35.4285,35.4285,954306.9,601719,0,0,10048,90,1,0.063,347880,62586
gnutella,batch,32,full,gnutella_b10000_p1.0,10000,20,3,0.056,0.212,10.5780,7.1812,43.9371,43.9371,944638.5,601719,0,0,10048,90,1,0.063,347880,62586
gnutella,batch,32,full,gnutella_b10000_p1.0,10000,20,4,0.057,0.203,10.1311,7.5913,27.6526,27.6526,986307.0,601719,0,0,10048,90,1,0.086,347880,62586
gnutella,batch,32,full,gnutella_b10000_p0.5,10000,20,0,0.053,0.235,11.7638,6.6789,51.1905,51.1905,850051.3,311484,0,0,5106,74,1,0.028,185331,62586
gnutella,batch,32,full,gnutella_b10000_p0.5,10000,20,1,0.036,0.163,8.1255,4.9460,60.3276,60.3276,1230680.7,311484,0,0,5106,75,1,0.026,185331,62586
gnutella,batch,32,full,gnutella_b10000_p0.5,10000,20,2,0.077,0.170,8.4767,5.9548,41.7910,41.7910,1179687.9,311484,0,0,5106,76,1,0.118,185331,62586
gnutella,batch,32,full,gnutella_b10000_p0.5,10000,20,3,0.100,0.399,19.9369,11.6128,50.1605,50.1605,501571.4,311484,0,0,5106,76,1,0.102,185331,62586
gnutella,batch,32,full,gnutella_b10000_p0.5,10000,20,4,0.081,0.167,8.3724,6.0857,32.1873,32.1873,1194374.9,311484,0,0,5106,76,1,0.082,185331,62586
gnutella,batch,32,full,gnutella_b10000_p0.0,10000,20,0,0.093,0.134,6.6826,2.8438,29.1543,29.1543,1496378.6,14157,0,0,324,52,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b10000_p0.0,10000,20,1,0.049,0.048,2.4012,1.8595,7.4561,7.4561,4164285.4,14157,0,0,324,52,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b10000_p0.0,10000,20,2,0.046,0.046,2.3189,1.8971,5.9406,5.9406,4312190.9,14157,0,0,324,52,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b10000_p0.0,10000,20,3,0.038,0.047,2.3281,1.7023,6.5582,6.5582,4295218.1,14157,0,0,324,52,1,0.010,58083,62586
gnutella,batch,32,full,gnutella_b10000_p0.0,10000,20,4,0.035,0.047,2.3636,1.8526,6.4284,6.4284,4230505.9,14157,0,0,324,52,1,0.010,58083,62586
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,0,0.044,0.133,0.0065,0.0050,0.0092,21.7431,1506393.1,601731,0,0,14,90,1,0.057,347880,62586
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,1,0.038,0.173,0.0082,0.0063,0.0142,19.1586,1155664.0,601731,0,0,14,91,1,0.109,347880,62586
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,2,0.029,0.131,0.0064,0.0049,0.0112,16.2773,1530513.1,601731,0,0,14,91,1,0.053,347880,62586
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,3,0.029,0.128,0.0062,0.0050,0.0123,14.0931,1563209.5,601731,0,0,14,92,1,0.053,347880,62586
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,4,0.031,0.128,0.0063,0.0052,0.0098,12.9388,1558963.2,601731,0,0,14,93,1,0.060,347880,62586
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,0,0.053,0.279,0.0137,0.0125,0.0309,29.4734,716493.9,311916,0,0,11,74,1,0.159,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,1,0.036,0.114,0.0056,0.0044,0.0118,14.8919,1747765.3,311916,0,0,11,75,1,0.023,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,2,0.032,0.113,0.0056,0.0043,0.0091,16.0550,1771490.3,311916,0,0,11,76,1,0.023,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,3,0.029,0.117,0.0058,0.0045,0.0102,15.0259,1708973.6,311916,0,0,11,76,1,0.024,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,4,0.032,0.116,0.0057,0.0046,0.0095,12.6895,1725142.6,311916,0,0,11,76,1,0.024,185331,62586
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,0,0.038,0.045,0.0022,0.0019,0.0055,0.0364,4482302.8,15003,0,0,12,54,1,0.010,58083,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,1,0.036,0.048,0.0024,0.0020,0.0064,0.0908,4175972.5,15003,0,0,12,54,1,0.010,58083,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,2,0.039,0.046,0.0023,0.0019,0.0060,0.0840,4302231.2,15003,0,0,12,54,1,0.010,58083,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,3,0.033,0.042,0.0021,0.0017,0.0059,0.0375,4725176.5,15003,0,0,12,54,1,0.009,58083,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,4,0.039,0.048,0.0024,0.0019,0.0064,0.0874,4187773.0,15003,0,0,12,54,1,0.010,58083,62586
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,0,0.047,0.128,0.0631,0.0447,0.1031,24.7825,1562517.7,601731,0,0,106,90,1,0.056,347880,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,1,0.042,0.127,0.0628,0.0505,0.0819,17.8677,1568844.3,601731,0,0,106,90,1,0.055,347880,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,2,0.029,0.116,0.0569,0.0456,0.0812,13.9991,1731564.9,601731,0,0,106,90,1,0.055,347880,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,3,0.028,0.117,0.0574,0.0477,0.0792,13.1673,1715772.9,601731,0,0,106,90,1,0.057,347880,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,4,0.030,0.227,0.1087,0.0964,0.1751,13.1628,880673.3,601731,0,0,106,90,1,0.139,347880,62586
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
gnutella,batch,32,full,gnutella_b100_p0.5,100,2000,0,0.045,0.104,0.0515,0.0358,0.1061,18.3968,1919209.7,311916,0,0,69,74,1,0.023,185331,62586
gnutella,batch,32,full,gnutella_b100_p0.5,100,2000,1,0.040,0.109,0.0543,0.0364,0.1587,20.4600,1828636.1,311916,0,0,69,75,1,0.023,185331,62586
gnutella,batch,32,full,gnutella_b100_p0.5,100,2000,2,0.034,0.100,0.0495,0.0338,0.1046,14.1013,1998916.3,311916,0,0,69,75,1,0.025,185331,62586
gnutella,batch,32,full,gnutella_b100_p0.5,100,2000,3,0.035,0.095,0.0473,0.0342,0.0770,14.1584,2096943.5,311916,0,0,69,76,1,0.023,185331,62586
gnutella,batch,32,full,gnutella_b100_p0.5,100,2000,4,0.037,0.098,0.0484,0.0369,0.0731,14.6811,2047440.8,311916,0,0,69,76,1,0.023,185331,62586
