dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
enron,batch,32,nomerge,enron_b1000_p0.5,1000,200,0,0.125,4160.843,20804.2172,19250.3380,36223.7209,36669.2887,48.1,13606215663,0,0,296,105,1,0.097,226797,36692
enron,batch,32,nomerge,enron_b1000_p0.5,1000,200,1,0.116,4230.161,21150.8048,19710.1486,36222.6395,38384.2680,47.3,13606215663,0,0,296,105,1,0.101,226797,36692
enron,batch,32,nomerge,enron_b1000_p0.5,1000,200,2,0.117,4309.629,21548.1436,19843.0418,38217.6833,38547.7152,46.4,13606215663,0,0,296,105,1,0.110,226797,36692
enron,batch,32,nomerge,enron_b1000_p0.5,1000,200,3,0.121,4215.210,21076.0480,20144.0580,35613.1914,37456.2892,47.4,13606215663,0,0,296,105,1,0.094,226797,36692
enron,batch,32,nomerge,enron_b1000_p0.5,1000,200,4,0.112,4119.360,20596.7977,18749.1409,36334.4582,39236.3485,48.6,13606215663,0,0,296,105,1,0.120,226797,36692
