dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
email,batch,32,nomerge,email_b1000_p0.5,1000,200,0,0.021,4579.661,22898.3022,21290.6306,56968.5707,57227.8876,43.7,14032811724,0,0,196,36,1,0.113,91096,1005
email,batch,32,nomerge,email_b1000_p0.5,1000,200,1,0.016,4684.584,23422.9221,20032.2787,58697.1030,59411.1250,42.7,14032811724,0,0,196,36,1,0.129,91096,1005
email,batch,32,nomerge,email_b1000_p0.5,1000,200,2,0.016,4670.182,23350.9111,20983.7561,56902.8550,57030.7454,42.8,14032811724,0,0,196,36,1,0.115,91096,1005
email,batch,32,nomerge,email_b1000_p0.5,1000,200,3,0.015,4638.510,23192.5499,21035.6734,57278.6952,57938.9975,43.1,14032811724,0,0,196,36,1,0.112,91096,1005
email,batch,32,nomerge,email_b1000_p0.5,1000,200,4,0.014,4637.357,23186.7853,22189.5044,54377.3695,55429.6474,43.1,14032811724,0,0,196,36,1,0.104,91096,1005
