dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
wikivote,batch,32,nomerge,wikivote_b1000_p0.5,1000,200,0,0.086,3759.236,18796.1793,17586.1231,29699.7081,30417.7191,53.2,10469522127,0,0,436,45,1,0.073,162090,7115
wikivote,batch,32,nomerge,wikivote_b1000_p0.5,1000,200,1,0.077,3716.692,18583.4585,18028.2501,30065.5603,30187.3287,53.8,10469522127,0,0,436,45,1,0.071,162090,7115
wikivote,batch,32,nomerge,wikivote_b1000_p0.5,1000,200,2,0.080,3797.185,18985.9264,17959.0871,30841.5981,31083.4632,52.7,10469522127,0,0,436,45,1,0.076,162090,7115
wikivote,batch,32,nomerge,wikivote_b1000_p0.5,1000,200,3,0.077,3832.796,19163.9812,18288.8302,30274.1571,31702.0124,52.2,10469522127,0,0,436,45,1,0.071,162090,7115
wikivote,batch,32,nomerge,wikivote_b1000_p0.5,1000,200,4,0.077,3611.592,18057.9599,16941.6025,29411.6215,29416.0368,55.4,10469522127,0,0,436,45,1,0.071,162090,7115
