dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
enron,batch,32,allseeds,enron_b1000_p0.5,1000,200,0,0.123,48.076,240.3780,238.1850,344.2559,345.4087,4160.1,159801201,0,0,3066,106,1,0.094,226797,36692
enron,batch,32,allseeds,enron_b1000_p0.5,1000,200,1,0.118,45.973,229.8656,229.2011,282.9219,292.1525,4350.4,159801201,0,0,3066,106,1,0.120,226797,36692
enron,batch,32,allseeds,enron_b1000_p0.5,1000,200,2,0.133,46.026,230.1298,226.5486,295.1958,320.4248,4345.4,159801201,0,0,3066,106,1,0.098,226797,36692
enron,batch,32,allseeds,enron_b1000_p0.5,1000,200,3,0.112,47.146,235.7319,232.4908,317.4599,341.3501,4242.1,159801201,0,0,3066,106,1,0.094,226797,36692
enron,batch,32,allseeds,enron_b1000_p0.5,1000,200,4,0.110,45.481,227.4060,224.2842,267.8026,273.0484,4397.4,159801201,0,0,3066,106,1,0.100,226797,36692
