dataset,method,ablate,stream,threads,n,ms_mean,ms_std,evals_mean,region_max,tp_mean,verify_ok
gnutella,batch,full,gnutella_b10000_p0.0,32,5,2.4812,0.1896,14157,324.0,4048098.8,1
gnutella,batch,full,gnutella_b10000_p0.5,32,5,5.7298,0.0574,311484,5106.0,1745366.7,1
gnutella,batch,full,gnutella_b10000_p1.0,32,5,8.4321,0.9064,601719,10048.0,1195634.6,1
gnutella,batch,full,gnutella_b1000_p0.0,32,5,0.2232,0.0049,14961,40.0,4480689.5,1
gnutella,batch,full,gnutella_b1000_p0.25,32,5,0.3292,0.0167,163758,297.0,3043373.8,1
gnutella,batch,full,gnutella_b1000_p0.5,1,5,0.4772,0.0210,311877,546.0,2098291.2,1
gnutella,batch,full,gnutella_b1000_p0.5,128,5,0.6231,0.1062,311877,546.0,1637406.4,1
gnutella,batch,full,gnutella_b1000_p0.5,16,5,0.5408,0.0383,311877,546.0,1856124.2,1
gnutella,batch,full,gnutella_b1000_p0.5,2,5,0.4867,0.0172,311877,546.0,2056311.8,1
gnutella,batch,full,gnutella_b1000_p0.5,256,5,0.5503,0.0399,311877,546.0,1823900.0,1
gnutella,batch,full,gnutella_b1000_p0.5,32,5,0.5286,0.0144,311877,546.0,1892739.2,1
gnutella,batch,full,gnutella_b1000_p0.5,4,5,0.5422,0.0182,311877,546.0,1845571.1,1
gnutella,batch,full,gnutella_b1000_p0.5,64,5,0.5237,0.0099,311877,546.0,1909613.6,1
gnutella,batch,full,gnutella_b1000_p0.5,8,5,0.6172,0.1215,311877,546.0,1662927.2,1
gnutella,batch,full,gnutella_b1000_p0.75,32,5,0.7048,0.0326,458034,797.0,1421281.8,1
gnutella,batch,full,gnutella_b1000_p1.0,32,5,0.7315,0.1370,601728,1010.0,1398613.0,1
gnutella,batch,full,gnutella_b100_p0.0,32,5,0.0197,0.0005,15000,18.0,5051019.4,1
gnutella,batch,full,gnutella_b100_p0.5,32,5,0.0492,0.0017,311916,69.0,2015444.7,1
gnutella,batch,full,gnutella_b100_p1.0,32,5,0.0658,0.0055,601731,106.0,1506373.8,1
gnutella,batch,full,gnutella_b10_p0.0,32,5,0.0028,0.0008,15003,12.0,3787110.9,1
gnutella,batch,full,gnutella_b10_p0.5,32,5,0.0057,0.0003,311916,11.0,1724694.4,1
gnutella,batch,full,gnutella_b10_p1.0,32,5,0.0063,0.0003,601731,14.0,1534602.1,1
gnutella,batch,full,gnutella_b1_p0.0,32,5,0.0009,0.0000,3051,8.0,1079053.1,1
gnutella,batch,full,gnutella_b1_p0.5,32,5,0.0018,0.0001,31545,8.0,532920.5,1
gnutella,batch,full,gnutella_b1_p1.0,32,5,0.0019,0.0001,60066,3.0,501145.5,1
gnutella,batch,nomerge,gnutella_b1000_p0.5,32,5,1.0164,0.2114,311916,10.0,1008548.4,1
gnutella,peredge,-,gnutella_b1_p0.5,1,1,0.0004,0.0000,15329,8.0,2029679.4,1
gnutella,peredge,-,gnutella_s_b1000_p0.5,1,1,0.3845,0.0000,37770,10.0,2600716.6,1
gnutella,peredge,-,gnutella_s_b100_p0.5,1,1,0.0360,0.0000,37770,10.0,2759076.4,1
gnutella,peredge,-,gnutella_s_b10_p0.5,1,1,0.0039,0.0000,37770,10.0,2545328.7,1
gnutella,peredge,-,gnutella_s_b1_p0.5,1,1,0.0004,0.0000,37770,10.0,2441262.0,1
wikivote,batch,full,wikivote_b10000_p0.0,32,5,62.4761,1.6688,3631785,45865.0,160150.6,1
wikivote,batch,full,wikivote_b10000_p0.5,32,5,159.1590,5.7643,9868551,29860.0,62895.6,1
wikivote,batch,full,wikivote_b10000_p1.0,32,5,135.7523,4.7698,8397588,34434.0,73733.2,1
wikivote,batch,full,wikivote_b1000_p0.0,32,5,64.5209,2.6203,36783246,8630.0,15519.1,1
wikivote,batch,full,wikivote_b1000_p0.25,32,5,138.3826,3.6915,83436507,6493.0,7230.5,1
wikivote,batch,full,wikivote_b1000_p0.5,1,5,247.2543,5.4449,96994590,4686.0,4046.0,1
wikivote,batch,full,wikivote_b1000_p0.5,256,5,158.3980,4.4375,96994590,4686.0,6317.2,1
wikivote,batch,full,wikivote_b1000_p0.5,32,5,163.2375,3.4907,96994590,4686.0,6128.3,1
wikivote,batch,full,wikivote_b1000_p0.5,8,5,191.1826,10.8821,96994590,4686.0,5243.4,1
wikivote,batch,full,wikivote_b1000_p0.75,32,5,198.6332,7.2339,118670178,3128.0,5039.6,1
wikivote,batch,full,wikivote_b1000_p1.0,32,5,135.1328,3.3158,78097866,3947.0,7403.7,1
wikivote,batch,full,wikivote_b100_p0.5,32,5,164.2924,4.1961,968000517,898.0,609.0,1
wikivote,batch,full,wikivote_b10_p0.5,32,5,106.8513,2.2739,6267789384,458.0,93.6,1
wikivote,batch,full,wikivote_b10_p1.0,32,5,120.1348,1.1773,7307327085,364.0,83.3,1
wikivote,batch,full,wikivote_b1_p0.0,32,5,37.2863,0.8366,2100122148,270.0,26.8,1
wikivote,batch,full,wikivote_b1_p0.5,32,5,27.1794,0.4057,1532302080,368.0,36.8,1
wikivote,batch,full,wikivote_b1_p1.0,32,5,14.2449,0.3326,820453362,355.0,70.2,1
wikivote,peredge,-,wikivote_b1_p0.5,1,1,56.7563,0.0000,1125269369,92099.0,17.6,1
youtube,batch,full,youtube_b10000_p0.5,32,3,7387.2736,455.8909,150292992,5079.0,1357.0,1
youtube,batch,full,youtube_b1000_p0.25,32,3,5234.0443,184.9902,993478581,792.0,191.2,1
youtube,batch,full,youtube_b1000_p0.5,32,3,5708.8873,255.7181,1139687340,568.0,175.4,1
youtube,batch,full,youtube_b1000_p0.75,32,3,6483.0050,212.5046,1275558075,801.0,154.4,1
youtube,batch,full,youtube_b100_p0.5,32,3,4144.0969,308.0540,83032188,68.0,24.2,1
youtube,batch,full,youtube_b10_p0.5,32,3,1646.8928,103.6492,328338663,38.0,6.1,1
youtube,batch,full,youtube_b1_p0.5,32,3,201.2466,10.8765,400044075,26.0,5.0,1
